1-2タームのものは7ターム、4-5タームのものは8ターム、前期集中は9ターム、後期集中は10タームと表記する。,,,,,,,,,,
"必修は1その他は0、選択必修2,情報工学必修は3,DSは4",,,,,,,,,,
時間指定のないものは0時限とする,,,,,,,,,,
,,,,,,,,,,
Numbering Code,Class Code,授業名,曜日,時限,ターム,単位数,授業場所,必修,区分,学年
RC101,R011110101,プログラミング入門,金,4,7,2,工1-501,1,共通専門基礎科目,1
RC102,R011110201,プログラムの設計と実現Ⅰ,火,5,8,2,工1-501,1,共通専門基礎科目,1
RC103,R011110301,プログラムの設計と実現Ⅱ,月,5,7,2,工1-501,1,共通専門基礎科目,2
RC104,R011110401,プログラムの設計と実現Ⅲ,月,5,8,2,情401,0,共通専門基礎科目,2
RC105,R011110501,プログラム演習Ⅰ,火,4,8,1,工1-501,1,共通専門基礎科目,1
RC106,R011110601,プログラム演習Ⅱ(1),火,3,7,1,工1-501,1,共通専門基礎科目,2
RC106,R011110602,プログラム演習Ⅱ(2),火,5,7,1,,1,共通専門基礎科目,2
RC107,R011110701,マルチメディア工学入門,金,4,7,2,情301,0,共通専門基礎科目,1
RC108,R011110801,情報・データサイエンス入門Ⅰ,火,4,7,2,情401,1,共通専門基礎科目,1
RC109,R011110901,情報・データサイエンス入門Ⅱ,水,1,8,2,情イノベーションシアター,1,共通専門基礎科目,2
RD201,R011210101,確率論,水,1,7,2,工15-110,1,データサイエンス基礎,2
RD202,R011210201,確率論演習,木,2,7,1,工1-501:情報401,1,データサイエンス基礎,2
RD203,R011210301,統計学,火,2,8,2,工15-110,1,データサイエンス基礎,2
RD207,R011210501,数値計算,月,4,7,1,工1-501,0,データサイエンス基礎,3
RD208,R011210601,多変量解析,金,4,7,2,工2-103,0,データサイエンス基礎,3
RG205,R011210701,機械学習Ⅰ,火,4,7,2,情301,4,データサイエンス基礎,3
RG206,R011210801,機械学習演習,水,1,7,1,情401,0,データサイエンス基礎,3
RI203,R011310101,アナログ信号処理,月,1,2,2,工1-501:情報301,1,情報工学基礎,2
RI203,R011310101,アナログ信号処理,月,2,2,2,工1-501:情報301,1,情報工学基礎,2
RI208,R011310201,コンピュータシステム入門,木,1,8,2,工2-103,0,情報工学基礎,2
RI202,R011310301,集合・代数・論理,水,2,7,2,情301,0,情報工学基礎,2
RI204,R011310401,離散数学,火,3,8,2,工15-110,1,情報工学基礎,2
RI201,R011310501,フーリエ解析,月,3,7,2,工2-202,1,情報工学基礎,2
RI205,R011310601,情報工学実験IA,金,3,8,1,情303,1,情報工学基礎,2
RI205,R011310601,情報工学実験IA,金,4,8,1,情303,1,情報工学基礎,2
RI205,R011310601,情報工学実験IA,金,5,8,1,情303,1,情報工学基礎,2
RU206,R011310701,情報工学実験IB,金,3,8,1,工1-501,1,情報工学基礎,2
RU206,R011310701,情報工学実験IB,金,4,8,1,工1-501,1,情報工学基礎,2
RU206,R011310701,情報工学実験IB,金,5,8,1,工1-501,1,情報工学基礎,2
RI207,R011310801,情報工学実験IC,金,3,8,1,高度デジタル創造センター2階レーザーアトリエ,1,情報工学基礎,2
RI207,R011310801,情報工学実験IC,金,4,8,1,高度デジタル創造センター2階レーザーアトリエ,1,情報工学基礎,2
RI207,R011310801,情報工学実験IC,金,5,8,1,高度デジタル創造センター2階レーザーアトリエ,1,情報工学基礎,2
RI209,R011310901,情報工学実験Ⅱ,水,3,7,2,工総研2-203,3,情報工学基礎,3
RI209,R011310901,情報工学実験Ⅱ,水,4,7,2,工総研2-203,3,情報工学基礎,3
RI209,R011310901,情報工学実験Ⅱ,水,5,7,2,工総研2-203,3,情報工学基礎,3
RI210,R011311001,情報理論,月,3,7,2,情301,0,情報工学基礎,3
RI211,R011311101,コンピュータネットワーク,木,4,7,2,工17-213,0,情報工学基礎,3
RC202,R012110101,情報・データサイエンス基礎英語,集,0,8,2,メディア,0,共通専門,2
RC201,R012110201,情報倫理,月,4,7,2,情301,1,共通専門,2
RC203,R012110301,情報知的所有権セミナー,木,1,7,2,工17-212,0,共通専門,3
RC203,R012110301,情報知的所有権セミナー,木,2,7,2,工17-212,0,共通専門,3
RC205,R012110401,情報と職業,水,4,8,2,工2-202,0,共通専門,3
RC204,R012110501,ソーシャルイノベーション,金,5,7,2,情イノベーションシアター,0,共通専門,3
RD302,R012210101,医療統計学・疫学,月,4,7,2,情402,0,データサイエンス専門,3
RD301,R012210201,医療データサイエンス入門,金,2,7,2,情イノベーションシアター,0,データサイエンス専門,2
RD303,R012210301,データサイエンス看護学概論,月,5,7,2,情302,0,データサイエンス専門,3
RD305,R012210401,データサイエンス看護学演習,金,3,4,2,情302,0,データサイエンス専門,3
RD305,R012210401,データサイエンス看護学演習,金,4,4,2,情302,0,データサイエンス専門,3
RD304,R012210501,医用データ解析,月,1,7,2,情報戦略機構2階 電算実習室2,0,データサイエンス専門,3
RD307,R012220101,IoTと環境センシング,木,3,7,2,工2-103,0,データサイエンス専門,3
RD310,R012220201,リモートセンシング工学,水,3,8,2,工2-202,0,データサイエンス専門,3
RD308,R012220301,データ同化,火,3,7,2,工5-104,0,データサイエンス専門,3
RD306,R012220401,環境空間情報学,月,1,1,2,メディア,0,データサイエンス専門,2
RD306,R012220401,環境空間情報学,月,2,1,2,メディア,0,データサイエンス専門,2
RD309,R012220501,農村地理情報学,金,1,2,2,メディア,0,データサイエンス専門,3
RD309,R012220501,農村地理情報学,金,2,2,2,メディア,0,データサイエンス専門,3
RD311,R012230101,カラーサイエンス,金,4,7,2,情401,0,データサイエンス専門,2
RD312,R012230201,ディジタル画像処理,金,3,7,2,情401,0,データサイエンス専門,2
RD313,R012230301,視覚情報処理,月,5,8,2,情401,0,データサイエンス専門,2
RD314,R012230401,ヒューマンインタフェース,木,5,7,2,工2-201,0,データサイエンス専門,3
RD315,R012230501,コンピュータグラフィックス,水,2,7,2,工1-501,0,データサイエンス専門,3
RD317,R012230601,生体情報工学,金,2,8,2,情302,0,データサイエンス専門,3
RD316,R012230701,感覚・知覚測定法,金,3,7,2,情302,0,データサイエンス専門,3
RD318,R012230801,デザイン・シンキング,火,4,8,2,情402,0,データサイエンス専門,3
RD319,R012240101,データサイエンス系プロジェクト研究,木,3,10,2,各研究室,4,データサイエンス専門,3
RD319,R012240101,データサイエンス系プロジェクト研究,木,4,10,2,各研究室,4,データサイエンス専門,3
RD319,R012240101,データサイエンス系プロジェクト研究,木,5,10,2,各研究室,4,データサイエンス専門,3
RI306,R012310101,符号理論,火,5,8,2,工2-103,0,情報工学専門,3
RI301,R012310201,オートマトン,火,2,7,2,工2-202,0,情報工学専門,2
RI302,R012310301,オペレーティングシステム,水,4,8,2,工2-103,0,情報工学専門,2
RI303,R012310401,コンピュータアーキテクチャ,火,1,1,2,工1-501,0,情報工学専門,3
RI303,R012310401,コンピュータアーキテクチャ,火,2,1,2,工1-501,0,情報工学専門,3
RI307,R012310501,時系列信号処理,火,2,8,2,工1-501,0,情報工学専門,3
RI308,R012310601,インタプリタとコンパイラ,水,3,8,2,情402,0,情報工学専門,3
RI309,R012310701,分散情報処理,水,1,8,2,情402,0,情報工学専門,3
RI304,R012310801,情報システム概論,月,5,7,2,メディア,0,情報工学専門,3
RI310,R012310901,メディアセキュリティ,月,2,8,2,情302,0,情報工学専門,3
RI305,R012311001,最適化理論,火,1,2,2,工1-501:情402,0,情報工学専門,3
RI305,R012311001,最適化理論,火,2,2,2,工1-501:情402,0,情報工学専門,3
RI311,R012311101,確率過程とマルコフ解析,金,5,8,2,情401,0,情報工学専門,3
RI312,R012311201,情報工学系プロジェクト研究,木,3,10,2,各研究室,3,情報工学専門,3
RI312,R012311201,情報工学系プロジェクト研究,木,4,10,2,各研究室,3,情報工学専門,3
RI312,R012311201,情報工学系プロジェクト研究,木,5,10,2,各研究室,3,情報工学専門,3
GE241,G1111V1075,Critical Thinking in English(75),木,3,8,1,G4-21,2,英語,2
GE241,G1111V1077,Critical Thinking in English(77),木,3,8,1,G4-51,2,英語,2
GE241,G1111V1078,Critical Thinking in English(78),木,3,8,1,G5-31,2,英語,2
GE241,G1111V1079,Critical Thinking in English(79),木,3,8,1,G4-34,2,英語,2
GE241,G1111V1080,Critical Thinking in English(80),木,3,8,1,G4-44,2,英語,2
GE241,G1111V1081,Critical Thinking in English(81),木,3,8,1,G4-24,2,英語,2
GE242,G1111V2041,English for Specific Fields(41),木,3,7,1,G4-32,1,英語,2
GE242,G1111V2042,English for Specific Fields(42),木,3,7,1,G5-51,1,英語,2
GE242,G1111V2043,English for Specific Fields(43),木,3,7,1,G4-52,1,英語,2
GE242,G1111V2044,English for Specific Fields(44),木,3,7,1,G4-21,1,英語,2
GE242,G1111V2045,English for Specific Fields(45),木,3,7,1,G5-51,1,英語,2
GE243,G1111V3006,CALL2(6),集,0,8,1,メディア,2,英語,2
GE132,G1111V3026,Presentation(26) / Presentation,水,4,7,1,G4-53,1,英語,1
GE132,G1111V3027,Presentation(27) / Presentation,水,4,7,1,G5-32,1,英語,1
GE132,G1111V3028,Presentation(28) / Presentation,水,4,7,1,G5-42,1,英語,1
GE132,G1111V3029,Presentation(29) / Presentation,水,4,7,1,G5-51,1,英語,1
GE132,G1111V3030,Presentation(30) / Presentation,水,4,7,1,G5-52,1,英語,1
GE132,G1111V3031,Presentation(31) / Presentation,水,4,7,1,G5-21,1,英語,1
GE132,G1111V3032,Presentation(32) / Presentation,水,4,7,1,G4-22,1,英語,1
GE132,G1111V3033,Presentation(33) / Presentation,水,4,7,1,G5-22,1,英語,1
GE132,G1111V3034,Presentation(34) / Presentation,水,4,7,1,G4-31,1,英語,1
GE134,G1111Z7051,Writing(51),月,1,8,1,G5-21,1,英語,1
GE134,G1111Z7052,Writing(52),月,1,8,1,G4-23,1,英語,1
GE134,G1111Z7053,Writing(53),月,1,8,1,G4-22,1,英語,1
GE134,G1111Z7054,Writing(54),月,1,8,1,G5-12,1,英語,1
GE134,G1111Z7055,Writing(55),月,1,8,1,G4-21,1,英語,1
GE134,G1111Z7056,Writing(56),月,1,8,1,G6-103,1,英語,1
GE134,G1111Z7057,Writing(57),月,1,8,1,G4-51,1,英語,1
GE133,G1111Z5069,Discussion(69),水,4,8,1,G5-52,1,英語,1
GE133,G1111Z5070,Discussion(70),水,4,8,1,G4-32,1,英語,1
GE133,G1111Z5071,Discussion(71),水,4,8,1,G5-22,1,英語,1
GE133,G1111Z5072,Discussion(72),水,4,8,1,G4-21,1,英語,1
GE133,G1111Z5073,Discussion(73),水,4,8,1,G4-43,1,英語,1
GE133,G1111Z5074,Discussion(74),水,4,8,1,G4-51,1,英語,1
GE135,G1111Z9101,CALL(1),月,1,7,1,G6-103,1,英語,1
GE135,G1111Z9102,CALL(2),月,1,7,1,G4-53,1,英語,1
GE135,G1111Z9103,CALL(3),月,1,7,1,G4-54,1,英語,1
GE135,G1111Z9104,CALL(4),月,1,7,1,G4-24,1,英語,1
GE135,G1111Z9105,CALL(5),月,1,7,1,G4-34,1,英語,1
GE135,G1111Z9106,CALL(6),月,1,7,1,G4-44,1,英語,1
CM107,G171231007,線形代数学Ｂ１(7),水,3,7,2,G3-12,1,共通専門基礎科目,1
CM108,G171232007,線形代数学Ｂ２(7),水,3,8,2,G3-12,1,共通専門基礎科目,1
CM102,G171211007,微積分学Ｂ１(7),金,3,7,2,G7-20,1,共通専門基礎科目,1
CM103,G171212007,微積分学Ｂ２(7),金,3,8,2,G7-10,1,共通専門基礎科目,1
CM104,G171221007,微積分学演習Ｂ１(7),木,2,7,1,G7-10,1,共通専門基礎科目,1
CM105,G171222007,微積分学演習Ｂ２(7),木,2,8,1,G3-11,1,共通専門基礎科目,1
CM109,G171241007,線形代数学演習Ｂ１(7),木,2,7,1,G7-10,1,共通専門基礎科目,1
CM110,G171242007,線形代数学演習Ｂ２(7),木,2,8,1,G3-11,1,共通専門基礎科目,1
CP103,G173421003,力学基礎1(3),水,2,7,2,G3-11,1,共通専門基礎科目,1
CP108,G173501002,力学基礎演習1(2),水,5,7,1,G3-11,0,共通専門基礎科目,1
CP106,G173451005,電磁気学基礎1(5),木,1,8,2,G3-12,0,共通専門基礎科目,1
CP111,G173531007,電磁気学基礎演習1(7),水,5,8,1,G3-12,0,共通専門基礎科目,1
CM202,G171510003,複素解析(3),火,4,7,2,G4-24,0,共通専門基礎科目,2
CM203,G171530006,微分方程式(6),金,5,7,2,G5-10,0,共通専門基礎科目,2
